row_id,pathway,T_K,p_kPa,x_methane,u_x_methane,uc_x_methane,y_propane,u_y_propane,uc_y_propane
may2015-ch4-c3h8-001,isochoric,283.38,7630,0.4586,0.0010,0.0018,0.2045,0.0006,0.0009
may2015-ch4-c3h8-002,isochoric,273.48,7102,0.4589,0.0010,0.0018,0.1614,0.0003,0.0007
may2015-ch4-c3h8-003,isochoric,263.51,6597,0.4623,0.0007,0.0018,0.1197,0.0012,0.0013
may2015-ch4-c3h8-004,isochoric,263.56,6560,0.4601,0.0013,0.0021,0.1174,0.0018,0.0019
may2015-ch4-c3h8-005,isochoric,253.59,6100,0.4708,0.0011,0.0021,0.0947,0.0004,0.0006
may2015-ch4-c3h8-006,isochoric,243.61,5611,0.4857,0.0015,0.0024,0.0715,0.0001,0.0004
may2015-ch4-c3h8-007,isochoric,243.64,5635,0.4907,0.0010,0.0022,0.0719,0.0001,0.0004
may2015-ch4-c3h8-008,isothermal,243.62,5544,0.4832,0.0014,0.0024,0.0715,0.0002,0.0004
may2015-ch4-c3h8-009,isothermal,233.67,5119,0.5077,0.0012,0.0026,0.0518,0.0003,0.0004
may2015-ch4-c3h8-010,isothermal,233.61,5077,0.5037,0.0021,0.0031,0.0520,0.0003,0.0004
may2015-ch4-c3h8-011,isothermal,223.54,4622,0.5333,0.0006,0.0027,0.0368,0.0005,0.0005
may2015-ch4-c3h8-012,isothermal,223.36,4628,0.5331,0.0012,0.0030,0.0366,0.0002,0.0003
may2015-ch4-c3h8-013,isothermal,213.38,4108,0.5614,0.0005,0.0033,0.0245,0.0003,0.0003
may2015-ch4-c3h8-014,isothermal,203.40,3576,0.5952,0.0014,0.0044,0.0162,0.0005,0.0005
may2015-ch4-c3h8-015,isothermal,243.62,891,0.0710,0.0005,0.0019,0.2076,0.0003,0.0041
may2015-ch4-c3h8-016,isothermal,243.62,3909,0.3442,0.0003,0.0019,0.0743,0.0004,0.0006
may2015-ch4-c3h8-017,isothermal,243.63,5500,0.4788,0.0014,0.0024,0.0704,0.0002,0.0004
may2015-ch4-c3h8-018,isothermal,243.61,5544,0.4764,0.0015,0.0025,0.0734,0.0002,0.0004
may2015-ch4-c3h8-019,isothermal,243.62,6402,0.5565,0.0006,0.0022,0.0726,0.0006,0.0007
may2015-ch4-c3h8-020,isothermal,243.63,6989,0.6082,0.0015,0.0026,0.0768,0.0005,0.0006
may2015-ch4-c3h8-021,isothermal,243.62,7530,0.6572,0.0010,0.0025,0.0779,0.0016,0.0016
may2015-ch4-c3h8-022,isothermal,243.62,7943,0.6961,0.0013,0.0027,0.0855,0.0005,0.0007
