species,T_K,p_sat_Pa,rho_sat_liq_kg_m3,source
Monoethanolamine,303.15,74.792493740508974,1008.5071455136253,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,313.15,163.97999489351787,1000.8636356661771,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,323.15,339.30527128181086,993.11381298749507,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,333.15,666.26629412334603,985.25276972827112,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,343.15,1247.5791022135913,977.27521943340707,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,353.15,2237.2411393943948,969.17545530799509,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,363.15,3856.8569216956735,960.94730255962747,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,373.15,6413.5815236682529,952.58406362301287,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,383.15,10318.754568431094,944.07845493110938,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,393.15,16106.085685889297,935.42253359161987,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,403.15,24448.143132772660,926.60761193914118,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,413.15,36169.907116627015,917.62415743491420,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,423.15,52258.278731963554,908.46167474161575,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,433.15,73866.669747536580,899.10856595946393,https://doi.org/10.1016/j.cherd.2014.07.017
Monoethanolamine,443.15,102314.11176181004,889.55196390147012,https://doi.org/10.1016/j.cherd.2014.07.017
